Date,Test,Sample,Treatment,Pathogen,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10
2/8/2017,Baseline,control,beef broth,fr,6,7,7,4,6,4,4,8,5,9,4
2/8/2017,Baseline,1,beef broth,fr,3,38,16,28,20,22,22,23,23,27,28
2/8/2017,Baseline,2,beef broth,fr,4,24,23,24,29,21,19,20,23,22,26
2/8/2017,Baseline,3,beef broth,fr,4,11,6,6,7,7,7,9,9,10,12
2/8/2017,Baseline,control,filtered,fr,6,15,13,8,8,16,12,11,15,7,13
2/8/2017,Baseline,1,filtered,fr,3,5,8,7,10,9,7,4,5,4,9
2/8/2017,Baseline,2,filtered,fr,4,5,5,7,6,13,10,11,12,11,10
2/8/2017,Baseline,3,filtered,fr,3,25,24,20,32,20,23,21,25,17,22
2/23/2017,Baseline,control,beef broth,MS2,5,16,12,17,21,23,18,11,17,14,14
2/23/2017,Baseline,1,beef broth,MS2,3,5,11,8,8,8,9,6,3,4,8
2/23/2017,Baseline,2,beef broth,MS2,3,9,7,8,10,5,5,6,6,11,8
2/23/2017,Baseline,3,beef broth,MS2,3,11,6,7,7,14,8,8,15,16,14
2/23/2017,Baseline,control,filtered,MS2,5,20,22,22,24,26,14,20,23,20,21
2/23/2017,Baseline,1,filtered,MS2,1.7,3,3,2,2,3,3,5,2,1,2
2/23/2017,Baseline,2,filtered,MS2,1.7,8,19,7,12,17,23,12,19,15,19
2/23/2017,Baseline,3,filtered,MS2,1.7,33,47,46,49,41,38,50,58,45,39
2/23/2017,Baseline,control,beef broth,P22,6,10,6,5,11,8,6,5,4,7,5
2/23/2017,Baseline,1,beef broth,P22,4,15,5,6,5,6,5,7,7,10,13
2/23/2017,Baseline,2,beef broth,P22,4,4,5,3,9,3,9,8,5,9,9
2/23/2017,Baseline,3,beef broth,P22,3,4,15,11,8,13,11,16,15,17,17
2/23/2017,Baseline,control,filtered,P22,6,14,15,9,8,18,3,8,8,9,15
2/23/2017,Baseline,1,filtered,P22,2,25,34,31,39,27,29,33,31,25,38
